Barcode #,Sample ID,Sample Type
barcode01,N90007807,Test
barcode02,N90007808,
barcode03,N90007811,
barcode04,N90007812,
barcode05,N90007818,
barcode06,N90007820,
barcode07,N90007815,
barcode08,N90007850,
barcode09,N90007848,
barcode10,N90007849,
barcode11,N90007852,
barcode12,N90007853,
barcode13,N90007854,
barcode14,N90007857,
barcode15,N90007855,
barcode16,N90007861,
barcode17,N90007856,
barcode18,N90007858,
barcode19,N90007860,
barcode20,N90007859,
barcode21,N90007863,
barcode22,N90007865,
barcode23,N90007866,
barcode24,N90007867,
barcode25,N90008142,
barcode26,N90008140,
barcode27,N90008141,
barcode28,N90008143,
barcode29,N90008145,
barcode30,N90008147,
barcode31,N90008148,
barcode32,N90008150,
barcode33,N90008153,
barcode34,N90008154,
barcode35,N90008151,
barcode36,N90008156,
barcode37,N90008157,
barcode38,N90008158,
barcode39,N90008159,
barcode40,N90008160,
barcode41,N90008170,
barcode42,N90008165,
barcode43,N90008166,
barcode44,N90008169,
barcode45,N90008164,
barcode46,N90008167,
barcode47,N90008173,
barcode48,N90008174,
barcode49,N90008177,
barcode50,N90008176,
barcode51,N90008180,
barcode52,N90008182,
barcode53,N90008181,
barcode54,N90008192,
barcode55,N90008186,
barcode56,N90008189,
barcode57,N90008185,
barcode58,N90008188,
barcode59,N90008194,
barcode60,N90008193,
barcode61,N90008195,
barcode62,N90008198,
barcode63,N90008202,
barcode64,N90008199,
barcode65,N90008201,
barcode66,N90008206,
barcode67,N90008208,
barcode68,N90008210,
barcode69,N90008211,
barcode70,N90008209,
barcode71,N90008226,
barcode72,N90008215,
barcode73,N90008214,
barcode74,N90008216,
barcode75,N90008230,
barcode76,N90008219,
barcode77,N90008221,
barcode78,N90008217,
barcode79,N90008220,
barcode80,N90008223,
barcode81,N90008236,
barcode82,N90008234,
barcode83,N90008233,
barcode84,N90008232,
barcode85,N90008382,
barcode86,N90008379,